"Comment","Designator","Footprint","JLCPCB Part#"
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C15,C16,C26","Capacitor_SMD:C_0402_1005Metric","C307331"
"1u","C12,C13,C14,C17,C21","Capacitor_SMD:C_0402_1005Metric","C52923"
"4u7","C18","Capacitor_SMD:C_1206_3216Metric","C29823"
"2u2","C19,C20","Capacitor_SMD:C_0805_2012Metric","C377773"
"30p","C22,C23","Capacitor_SMD:C_0603_1608Metric","C1658"
"22u","C24","Capacitor_SMD:C_0805_2012Metric","C45783"
"10u","C25","Capacitor_SMD:C_1206_3216Metric","C13585"
"Red","D1,D3","-- mixed values --","-- mixed values --"
"Blue","D2","LED_SMD:LED_0805_2012Metric","C2293"
"Yellow","D4","LED_SMD:LED_0805_2012Metric","C2296"
"Emerald","D5","LED_SMD:LED_0805_2012Metric","C2297"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x02_Pin","J1,J2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_02x07_Odd_Even","J3","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical_SMD",""
"Conn_02x02_Odd_Even","J4","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical",""
"USB_C_Receptacle_USB2.0_16P","J5","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"Conn_02x13_Odd_Even","J6,J8","Connector_PinSocket_2.54mm:PinSocket_2x13_P2.54mm_Vertical",""
"Conn_02x14_Odd_Even","J7","Connector_PinSocket_2.54mm:PinSocket_2x14_P2.54mm_Vertical",""
"Conn_02x12_Odd_Even","J9","Connector_PinSocket_2.54mm:PinSocket_2x12_P2.54mm_Vertical",""
"Conn_01x05_Socket","J10,J11","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"10k","R1,R4,R5","Resistor_SMD:R_0402_1005Metric","C25744"
"100R","R2,R3,R6,R8,R9,R10,R15,R16","-- mixed values --","C25076"
"33R","R7","Capacitor_SMD:C_0402_1005Metric","C25105"
"5k1","R11,R12","Resistor_SMD:R_0402_1005Metric","C25905"
"1k","R13","Resistor_SMD:R_0402_1005Metric","C11702"
"510R","R14,R17,R18,R19,R20","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17734"
"SW_Push","SW1","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","C2909692"
"TestPoint","TP1","TestPoint:TestPoint_Plated_Hole_D2.0mm",""
"STM32H723ZGT6","U1","Package_QFP:LQFP-144_20x20mm_P0.5mm","C730146"
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"8MHz 20pF","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
