Designator,Mid X,Mid Y,Layer,Rotation
C1,24.4,-37.75,Top,-90
C2,24.4,-42.85,Top,-90
C3,28.845,-51.225,Top,0
C4,35.34,-51.225,Top,0
C5,40.34,-51.225,Top,0
C6,47.25,-49.52,Top,180
C7,49.3,-42.25,Top,90
C8,48.7,-29,Top,180
C9,39.84,-26.29,Top,180
C10,34.84,-26.29,Top,180
C11,27.6075,-26.29,Top,0
C12,23.92,-32.5,Top,0
C13,49.3,-36.75,Top,90
C14,23.37,-46.71,Top,90
C15,24.4,-46.71,Top,90
C16,24.39,-44.78,Top,-90
C17,23.37,-44.78,Top,-90
C18,23.48,-51.28,Top,180
C19,50.7,-30.05,Top,-90
C20,45.58,-52.37,Top,90
C21,47.57,-4.92,Top,180
C22,13.82,-44.72,Top,90
C23,13.82,-37.77,Top,-90
C24,84.4325,-41.675,Top,-90
C25,79.065,-29.285,Top,0
C26,87.6,-26.47,Top,90
D1,78.3625,-11.99,Top,0
D2,54.8,-62.94,Top,180
D3,10.24,-54.98,Top,90
D4,67.2375,-27.87,Top,180
D5,16.2425,-15.22,Top,0
R1,21.94,-6.64,Top,90
R2,21.94,-4.1,Top,-90
R3,13.56,-7.66,Top,-90
R4,13.56,-4.1,Top,-90
R5,47.6,-6.31,Top,180
R6,33.02,-3.75,Top,180
R7,22.46,-41.5,Top,0
R8,63.63,-3.57,Top,180
R9,51.79,-2.3,Top,0
R10,63.63,-2.3,Top,180
R11,84.8,-26.5,Top,-90
R12,77.3,-15.4,Top,90
R13,86.2,-26.5,Top,-90
R14,73.2,-11.99,Top,180
R15,77.825,-19.47,Top,180
R16,77.825,-17.97,Top,180
R17,54.7375,-66.84,Top,180
R18,5.08,-58.01,Top,180
R19,72.6,-27.87,Top,0
R20,16.305,-19.16,Top,0
U1,36.8375,-38.75,Top,0
U2,84.4325,-35.035,Top,-90
Y1,18.08,-41.17,Top,90
